Wall time,Step,Value
1505995080.322199,7,1.5660853385925293
1505995080.4551477,8,1.5249288082122803
1505995080.9892044,12,1.3934401273727417
1505995081.1235752,13,1.391700029373169
1505995081.3909345,15,1.4200985431671143
1505995081.5252452,16,1.388654112815857
1505995081.6565983,17,1.3854477405548096
1505995081.9225252,19,1.3741828203201294
1505995082.057646,20,1.3623676300048828
1505995082.1910036,21,1.3330984115600586
1505995082.3211226,22,1.3191561698913574
1505995082.854781,26,1.2300388813018799
1505995084.0546803,35,0.9458516836166382
1505995084.1880703,36,0.9097545146942139
1505995085.8167315,38,0.8893981575965881
1505995086.1614947,41,0.8318302035331726
1505995086.2954333,42,0.8009479641914368
1505995086.5610955,44,0.8380653858184814
1505995086.822834,46,1.1480728387832642
1505995086.9566946,47,1.0543317794799805
1505995087.223343,49,0.9336624145507812
1505995087.488685,51,0.8395037651062012
1505995087.6240485,52,0.8230248689651489
1505995088.0231133,55,0.7727483510971069
1505995088.156237,56,0.7823458313941956
1505995088.2904532,57,0.7484387159347534
1505995088.4223793,58,0.7215301394462585
1505995088.5563333,59,0.6994046568870544
1505995088.9584985,62,0.6863847970962524
1505995089.0904417,63,0.6747387051582336
1505995089.3574615,65,0.6481698751449585
1505995089.6241567,67,0.6277456283569336
1505995089.758366,68,0.612119734287262
1505995089.8901155,69,0.6454477310180664
1505995090.0214615,70,0.6959096193313599
1505995090.425021,73,0.6519763469696045
1505995090.5574138,74,0.6704248189926147
1505995090.6925874,75,0.6429116725921631
1505995091.8308053,76,0.6375429034233093
1505995091.9907794,78,0.6114861369132996
1505995092.3896012,81,0.5939070582389832
1505995093.054999,86,0.8379009366035461
1505995093.188594,87,0.8179907202720642
1505995093.3239496,88,0.7995165586471558
1505995093.4595344,89,0.7730841636657715
1505995093.5902605,90,0.7617040276527405
1505995093.7236793,91,0.7415581345558167
1505995094.391259,96,0.6571851372718811
1505995095.4580638,104,0.6150152683258057
1505995095.8578267,107,0.5948879718780518
1505995095.9932241,108,0.6000815629959106
1505995097.9476454,115,0.5849413871765137
1505995098.228462,118,0.5314689874649048
1505995098.491221,120,0.5368908643722534
1505995098.6225507,121,0.5359517335891724
1505995098.7549422,122,0.5218694806098938
1505995099.2924702,126,0.8124825954437256
1505995099.4233794,127,0.7778974771499634
1505995099.555278,128,0.751416027545929
1505995099.9569895,131,0.6919047236442566
1505995100.0909193,132,0.6850799918174744
1505995100.4920218,135,0.641966700553894
1505995101.0240896,139,0.6233550906181335
1505995101.2918496,141,0.6262262463569641
1505995101.5566292,143,0.6176949739456177
1505995101.689565,144,0.6128014922142029
1505995101.8239477,145,0.6006162762641907
1505995101.956939,146,0.5985446572303772
1505995102.2257004,148,0.5932350754737854
1505995102.4920297,150,0.5786309838294983
1505995103.76241,152,0.5716503262519836
1505995104.1162488,155,0.5495995283126831
1505995104.1914504,156,0.5502105951309204
1505995104.3248696,157,0.5438044667243958
1505995104.5894,159,0.5463662147521973
1505995104.722791,160,0.5449471473693848
1505995104.8581686,161,0.5484403371810913
1505995105.2561288,164,0.7682682871818542
1505995105.52436,166,0.7389680743217468
1505995105.6557531,167,0.7198243141174316
1505995105.9218795,169,0.6745761036872864
1505995106.0562136,170,0.6749181747436523
1505995106.4680188,173,0.6640081405639648
1505995107.1361418,178,0.5834358930587769
1505995107.2715354,179,0.5791541934013367
1505995107.4059052,180,0.5876091718673706
1505995107.6747177,182,0.5640803575515747
1505995107.8071427,183,0.5573709607124329
1505995108.074304,185,0.5279794931411743
1505995108.3416388,187,0.5313229560852051
1505995108.4750066,188,0.5348621606826782
1505995108.6089454,189,0.5368099212646484
1505995109.749922,190,0.5556483864784241
1505995110.0325365,192,0.5307458639144897
1505995110.1660097,193,0.5401341319084167
1505995110.991914,200,0.5172032713890076
1505995111.5238814,204,0.8519179821014404
1505995112.0580695,208,0.793411374092102
1505995112.1899397,209,0.7865198254585266
1505995112.3227997,210,0.760403573513031
1505995112.8578298,214,0.7038944959640503
1505995112.9917247,215,0.6747201085090637
1505995113.2649965,217,0.676815390586853
1505995113.6651735,220,0.6560459136962891
1505995113.799531,221,0.6389232277870178
1505995114.1936305,224,0.6243908405303955
1505995114.3250446,225,0.612454891204834
1505995114.5937078,227,0.5639277696609497
1505995115.733021,228,0.56741863489151
1505995115.8810396,229,0.5569391846656799
1505995116.1454728,231,0.5433408617973328
1505995116.2778263,232,0.5259827375411987
1505995116.3516343,233,0.517674446105957
1505995116.4278464,234,0.5055270791053772
1505995116.5612051,235,0.49047109484672546
1505995116.6912196,236,0.5140278339385986
1505995117.1068435,239,0.5207617282867432
1505995117.506954,242,0.8715933561325073
1505995118.0410972,246,0.7445665001869202
1505995118.1774669,247,0.7146461009979248
1505995118.4430485,249,0.6798350214958191
1505995118.7074094,251,0.6357897520065308
1505995118.8418694,252,0.6115332841873169
1505995119.508894,257,0.5665599703788757
1505995119.9088962,260,0.5701447129249573
1505995120.0397794,261,0.5704368352890015
1505995120.1761868,262,0.5760584473609924
1505995120.308686,263,0.5615458488464355
1505995120.5726306,265,0.5609570741653442
1505995122.1239767,269,0.5306194424629211
1505995122.3909109,271,0.5313556790351868
1505995122.5410216,273,0.5380193591117859
1505995122.8067577,275,0.5501173734664917
1505995123.473464,280,0.8441652655601501
1505995123.7412035,282,0.7795422077178955
1505995124.2766473,286,0.6711536049842834
1505995124.9406953,291,0.587798535823822
1505995125.2084897,293,0.5519255995750427
1505995125.3418672,294,0.5409378409385681
1505995125.7399678,297,0.503136396408081
1505995126.0086975,299,0.4654713273048401
1505995126.141058,300,0.4613799452781677
1505995126.2724097,301,0.4510984420776367
1505995126.5387425,303,0.45461276173591614
1505995127.6778424,304,0.44630828499794006
1505995127.8072379,305,0.4330451190471649
1505995128.3396788,309,0.4368812143802643
1505995128.473037,310,0.43646660447120667
1505995128.6214561,312,0.42599716782569885
1505995129.023649,315,0.4355204999446869
1505995129.5588384,319,0.8252005577087402
1505995129.6912534,320,0.7896159291267395
1505995129.8261344,321,0.7593486905097961
1505995129.956993,322,0.7535126805305481
1505995130.2238157,324,0.7060720920562744
1505995130.6259189,327,0.6504805684089661
1505995130.7603118,328,0.6366610527038574
1505995130.894232,329,0.617393434047699
1505995131.290454,332,0.5826436877250671
1505995131.4248183,333,0.5540896058082581
1505995131.6925821,335,0.5328177809715271
1505995132.4919424,341,0.4721699059009552
1505995133.7751212,343,0.490333616733551
1505995134.1744838,346,0.4854256510734558
1505995134.3078413,347,0.4759061336517334
1505995134.5743382,349,0.4660068154335022
1505995134.6510477,350,0.45989790558815
